suite,seed,n_train,n_test,context_bins,model,brier,log_loss,accuracy,f1,auc,blocked_false_positive_rate,affordance_loss_rate,accessible_prediction_variance,ece,reliability_slope,mean_prediction,positive_rate,access_rate
support_burden,1,80,3000,4,conserved_quotient,0.02988754836445402,0.1203234731997512,0.9556666666666667,0.5957446808510638,0.8749466415460494,0.0,0.3717277486910995,1.232595164407831e-32,0.016103011695906427,1.0902856352593573,0.060024181286549703,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,4,object_only,0.08336805664971271,0.4388967623112625,0.9303333333333333,0.0,0.5122360149420815,0.0,1.0,7.234274766864287e-33,0.1112054724637681,0.06430617677508171,0.14121119420289854,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,4,access_only,0.03358432299168975,0.1289936249294763,0.955,0.7133757961783439,0.8657767019418191,0.0,0.0,5.238529448733282e-32,0.0053821052631578955,1.0075098952494943,0.06428456140350877,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,4,context_table,0.10503897255933954,0.6359185838272342,0.9026666666666666,0.09876543209876543,0.49657048716054164,0.036523009495982466,0.9214659685863874,0.02955046625247827,0.1094589674258109,0.06744489082052353,0.1596470167011732,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,8,conserved_quotient,0.02988754836445402,0.1203234731997512,0.9556666666666667,0.5957446808510638,0.8749466415460494,0.0,0.3717277486910995,1.232595164407831e-32,0.016103011695906427,1.0902856352593573,0.060024181286549703,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,8,object_only,0.08336805664971271,0.4388967623112625,0.9303333333333333,0.0,0.5122360149420815,0.0,1.0,7.234274766864287e-33,0.1112054724637681,0.06430617677508171,0.14121119420289854,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,8,access_only,0.03358432299168975,0.1289936249294763,0.955,0.7133757961783439,0.8657767019418191,0.0,0.0,5.238529448733282e-32,0.0053821052631578955,1.0075098952494943,0.06428456140350877,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,8,context_table,0.08155796455474348,0.3855320072437972,0.9256666666666666,0.04291845493562232,0.5080564836735988,0.006939371804236669,0.9738219895287958,0.012185010551354446,0.08391366443524272,0.1049476116206003,0.13945587313089486,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,8,monolithic_logistic,0.05482396780094981,0.3337098905705411,0.9386666666666666,0.22033898305084745,0.8236008084770083,0.0,0.8586387434554974,0.027194738760676268,0.05673909318710631,1.4370858615612696,0.012934992260874306,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,12,conserved_quotient,0.02988754836445402,0.1203234731997512,0.9556666666666667,0.5957446808510638,0.8749466415460494,0.0,0.3717277486910995,1.232595164407831e-32,0.016103011695906427,1.0902856352593573,0.060024181286549703,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,12,object_only,0.08336805664971271,0.4388967623112625,0.9303333333333333,0.0,0.5122360149420815,0.0,1.0,7.234274766864287e-33,0.1112054724637681,0.06430617677508171,0.14121119420289854,0.06966666666666667,0.08733333333333333
