suite,mode,rate,seed,model,brier,log_loss,accuracy,f1,auc,blocked_false_positive_rate,affordance_loss_rate,accessible_prediction_variance,ece,reliability_slope,mean_prediction,positive_rate,access_rate
correspondence_stress,handle_slot_swap,0.1,1,conserved_quotient,0.02868572558207032,0.12047585210774038,0.96625,0.7326732673267327,0.8827848896567972,0.0,0.0,0.001581634798716803,0.00976569361483033,1.0445249437128992,0.05711482456889891,0.06375,0.0875
correspondence_stress,handle_slot_swap,0.1,1,interaction_logistic,0.02874994539258947,0.12029087875549095,0.9640625,0.7088607594936709,0.8868458598392628,0.0,0.045,0.004535018615760142,0.009525580909088355,1.10259925142179,0.055627368040265524,0.06375,0.0875
correspondence_stress,handle_slot_swap,0.2,1,conserved_quotient,0.029160001432152232,0.12168849507052636,0.96625,0.7326732673267327,0.8818751799785335,0.0,0.0,0.003225973261926093,0.009570041036043003,1.0354355432920275,0.05731047714768625,0.06375,0.0875
correspondence_stress,handle_slot_swap,0.3,1,conserved_quotient,0.02920414577563547,0.12184211215784142,0.96625,0.7326732673267327,0.8819259012016022,0.0,0.0,0.0022882065775166596,0.009662775253169834,1.0399394434216156,0.0572177429305594,0.06375,0.0875
correspondence_stress,handle_slot_swap,0.3,1,interaction_logistic,0.029151463510195576,0.12134846525678945,0.96375,0.7055837563451777,0.8865660750281421,0.0,0.05,0.0036824741155609625,0.00863019261711411,1.0820485521118088,0.055812694609868194,0.06375,0.0875
correspondence_stress,random_site,0.0,2,conserved_quotient,0.03232040207508852,0.13605709131714902,0.9621875,0.7268623024830699,0.8755205688901233,0.0,0.0,5.257788748177154e-32,0.013231258160508061,0.978163114413414,0.06483393533827918,0.0728125,0.0915625
correspondence_stress,random_site,0.0,2,interaction_logistic,0.03332431733745655,0.13988766902541871,0.9621875,0.7268623024830699,0.883641371249698,0.0,0.0,0.0031710619263743117,0.01295678660141152,0.876829545111796,0.07570690512072402,0.0728125,0.0915625
correspondence_stress,random_site,0.02,2,conserved_quotient,0.0329916534305343,0.13750886246876803,0.960625,0.7149321266968326,0.8751097552331729,0.0,0.01904761904761905,0.008059147914780521,0.012882684285533547,0.9814796271036014,0.06470704911302338,0.0728125,0.0915625
correspondence_stress,random_site,0.05,2,conserved_quotient,0.03374690191947085,0.13971787921855938,0.9596875,0.7101123595505618,0.8742403925295562,0.0,0.023809523809523808,0.014729615639623158,0.013990062019541278,0.9553756342565823,0.06572064608918785,0.0728125,0.0915625
correspondence_stress,random_site,0.1,2,conserved_quotient,0.03447271750716111,0.14086583540462,0.9575,0.6936936936936937,0.8738556163579055,0.0,0.04285714285714286,0.014946897598841017,0.011744254984298614,0.9670300640228925,0.06540522583843587,0.0728125,0.0915625
correspondence_stress,random_site,0.1,2,interaction_logistic,0.035877784834255265,0.14585942456586584,0.9575,0.6936936936936937,0.8858155012722204,0.0,0.04285714285714286,0.026505248420848136,0.012620406734290577,0.8440502707436962,0.08141921232829405,0.0728125,0.0915625
correspondence_stress,random_site,0.2,2,conserved_quotient,0.03519982148800011,0.14261151183810214,0.95625,0.6832579185520362,0.8730643661101878,0.0,0.08571428571428572,0.022239090982700983,0.013514456695896269,0.9782230269666079,0.06468118494758546,0.0728125,0.0915625
correspondence_stress,random_site,0.3,2,conserved_quotient,0.036654780403810004,0.14578804454214364,0.9528125,0.6560364464692483,0.8715946947177174,0.0,0.12857142857142856,0.020009642933242824,0.012742217286423269,0.9685890079525162,0.0649605028496307,0.0728125,0.0915625
correspondence_stress,random_site,0.3,2,interaction_logistic,0.03805303517270046,0.151755032173145,0.9521875,0.654627539503386,0.8709524367469923,0.0,0.10952380952380952,0.026625056319719113,0.012280977547625554,0.8644612977429271,0.07889939990999353,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.0,2,conserved_quotient,0.03232040207508852,0.13605709131714902,0.9621875,0.7268623024830699,0.8755205688901233,0.0,0.0,5.257788748177154e-32,0.013231258160508061,0.978163114413414,0.06483393533827918,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.0,2,interaction_logistic,0.03332431733745655,0.13988766902541871,0.9621875,0.7268623024830699,0.883641371249698,0.0,0.0,0.0031710619263743117,0.01295678660141152,0.876829545111796,0.07570690512072402,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.02,2,conserved_quotient,0.03230448666567756,0.13599815899204365,0.9621875,0.7268623024830699,0.8754193120028467,0.0,0.0,0.0009373314069031399,0.012730280133381493,0.9873045455445629,0.0643329573111526,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.05,2,conserved_quotient,0.03235024356657135,0.13614802954067237,0.9621875,0.7268623024830699,0.8753802557748973,0.0,0.0,0.0018042408334102116,0.013159815860550136,0.9791227828772457,0.06476249303832127,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.1,2,conserved_quotient,0.03253284649141497,0.13660956107798733,0.9621875,0.7268623024830699,0.8749969261302076,0.0,0.0,0.0016556423686202243,0.012913119528507872,0.9841000350413103,0.06451579670627898,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.1,2,interaction_logistic,0.033516557630744105,0.1402957431388785,0.9621875,0.7268623024830699,0.8826910030362601,0.0,0.0,0.003602220245153944,0.011471524866373397,0.8778053191047605,0.07664154352720004,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.2,2,conserved_quotient,0.03271756562676337,0.13714535550479817,0.9621875,0.7268623024830699,0.8749202602012698,0.0,0.0,0.0022387579251737944,0.009613344443710196,0.9744388872695832,0.06484056842438178,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.3,2,conserved_quotient,0.032813138018143104,0.13747114103376412,0.9621875,0.7268623024830699,0.8747307651693667,0.0,0.0,0.002884880000572185,0.010197334113093839,0.9633030404637352,0.06536405316704345,0.0728125,0.0915625
correspondence_stress,handle_slot_swap,0.3,2,interaction_logistic,0.03362826018842377,0.14677412362628434,0.9628125,0.7301587301587301,0.8724886483796728,0.0,0.009523809523809525,0.008642695004033077,0.013316307291623152,0.8653066304870272,0.07649669810791579,0.0728125,0.0915625
correspondence_stress,random_site,0.0,3,conserved_quotient,0.030235607159469602,0.12531831168441931,0.9640625,0.7461368653421634,0.88409888414481,0.0,0.0,1.9259299443872359e-32,0.012292323886677121,1.023538343254,0.06482489736561618,0.0734375,0.0925
correspondence_stress,random_site,0.0,3,interaction_logistic,0.0455568198656382,0.17087046668430303,0.9290625,0.16236162361623616,0.8808754619496968,0.0,0.8348623853211009,0.011442950199326906,0.04166703401609347,1.6795384263471973,0.03333738205618536,0.0734375,0.0925
correspondence_stress,random_site,0.02,3,conserved_quotient,0.03018409188748782,0.12526920441826758,0.964375,0.748898678414097,0.8838592084962864,0.0,0.0045871559633027525,0.0029428434869741074,0.010155076411251157,1.021100273802138,0.06527618469126446,0.0734375,0.0925
correspondence_stress,random_site,0.05,3,conserved_quotient,0.02992886530061967,0.124724278775317,0.965,0.7522123893805309,0.8838147178070396,0.0,0.01834862385321101,0.007262635940554007,0.009633154526185288,1.02765559652879,0.06543759714993642,0.0734375,0.0925
correspondence_stress,random_site,0.1,3,conserved_quotient,0.030467656285691008,0.12601517846387378,0.9640625,0.7461368653421634,0.8835994402784256,0.0,0.03669724770642202,0.012191476496270795,0.009804201956279934,1.035846485102867,0.06540225111231213,0.0734375,0.0925
